Read Number,Lev Distance,Read Depth of this one plus last one,Lev D/Read Depth
6375,8,248,0.03225806451612903
6381,8,248,0.03225806451612903
6383,8,250,0.032
6385,8,252,0.031746031746031744
6390,8,259,0.03088803088803089
6401,8,278,0.02877697841726619
6419,8,270,0.02962962962962963
6427,8,278,0.02877697841726619
6445,8,254,0.031496062992125984
6449,8,258,0.031007751937984496
6458,8,249,0.0321285140562249
6469,8,260,0.03076923076923077
6488,8,282,0.028368794326241134
6497,8,288,0.027777777777777776
6515,8,291,0.027491408934707903
6516,8,301,0.026578073089700997
6546,8,336,0.023809523809523808
6572,8,282,0.028368794326241134
6574,8,283,0.028268551236749116
6577,8,274,0.029197080291970802
6592,8,293,0.027303754266211604
6600,8,288,0.027777777777777776
6603,8,285,0.028070175438596492
6610,8,305,0.02622950819672131
6616,8,303,0.026402640264026403
6622,8,294,0.027210884353741496
6630,8,276,0.028985507246376812
6652,8,260,0.03076923076923077
6657,8,274,0.029197080291970802
6660,8,282,0.028368794326241134
6665,8,282,0.028368794326241134
6673,8,281,0.028469750889679714
6683,8,321,0.024922118380062305
6684,8,324,0.024691358024691357
6685,8,326,0.024539877300613498
6690,8,310,0.025806451612903226
6718,8,302,0.026490066225165563
6732,8,312,0.02564102564102564
6745,8,316,0.02531645569620253
6768,8,294,0.027210884353741496
6777,8,297,0.026936026936026935
6801,8,292,0.0273972602739726
6825,8,348,0.022988505747126436
6830,8,317,0.025236593059936908
6832,8,301,0.026578073089700997
6836,8,293,0.027303754266211604
6846,8,288,0.027777777777777776
6849,8,286,0.027972027972027972
6852,8,292,0.0273972602739726
6856,8,298,0.026845637583892617
6858,8,299,0.026755852842809364
6881,8,316,0.02531645569620253
6899,8,308,0.025974025974025976
6910,8,312,0.02564102564102564
6921,8,292,0.0273972602739726
6924,8,291,0.027491408934707903
6934,8,289,0.02768166089965398
6940,8,302,0.026490066225165563
6944,8,301,0.026578073089700997
6948,8,312,0.02564102564102564
6954,8,319,0.025078369905956112
6962,8,355,0.022535211267605635
6966,8,314,0.025477707006369428
6967,8,314,0.025477707006369428
6972,8,280,0.02857142857142857
6977,8,268,0.029850746268656716
6991,8,281,0.028469750889679714
6998,8,276,0.028985507246376812
6999,8,276,0.028985507246376812
7018,8,303,0.026402640264026403
7020,8,303,0.026402640264026403
7025,8,305,0.02622950819672131
7037,8,318,0.025157232704402517
7039,8,317,0.025236593059936908
7056,8,316,0.02531645569620253
7070,8,334,0.023952095808383235
7071,8,333,0.024024024024024024
7074,8,330,0.024242424242424242
7102,8,328,0.024390243902439025
7109,8,290,0.027586206896551724
7125,8,298,0.026845637583892617
7127,8,300,0.02666666666666667
7128,8,301,0.026578073089700997
7137,8,293,0.027303754266211604
7166,8,312,0.02564102564102564
7173,8,338,0.023668639053254437
7203,8,331,0.02416918429003021
7211,8,317,0.025236593059936908
7213,8,313,0.025559105431309903
7215,8,316,0.02531645569620253
7251,8,300,0.02666666666666667
7272,8,305,0.02622950819672131
7288,8,302,0.026490066225165563
7290,8,300,0.02666666666666667
7291,8,303,0.026402640264026403
7293,8,297,0.026936026936026935
7295,8,294,0.027210884353741496
7301,8,297,0.026936026936026935
7302,8,299,0.026755852842809364
7309,8,308,0.025974025974025976
7310,8,308,0.025974025974025976
7320,8,303,0.026402640264026403
7331,8,284,0.028169014084507043
7336,8,292,0.0273972602739726
7348,8,304,0.02631578947368421
7359,8,288,0.027777777777777776
7370,8,289,0.02768166089965398
7381,8,308,0.025974025974025976
7412,8,342,0.023391812865497075
7433,8,332,0.024096385542168676
7452,8,337,0.02373887240356083
7454,8,336,0.023809523809523808
7477,8,303,0.026402640264026403
7484,8,315,0.025396825396825397
7487,8,300,0.02666666666666667
7502,8,262,0.030534351145038167
7503,8,262,0.030534351145038167
7509,8,269,0.02973977695167286
7535,8,259,0.03088803088803089
7547,8,271,0.02952029520295203
7564,8,286,0.027972027972027972
7573,8,268,0.029850746268656716
